"Notes"	"HHS Region"	"HHS Region Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	22	28753804	0.1
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2016"	"2016"	27	28689758	0.1
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	30	28855043	0.1
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	88	28684402	0.3
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2015"	"2015"	94	28753804	0.3
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2016"	"2016"	192	28689758	0.7
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2017"	"2017"	239	28855043	0.8
	"HHS Region #2  NJ, NY"	"HHS2"	"Heroin"	"T40.1"	"2014"	"2014"	1273	28684402	4.4
	"HHS Region #2  NJ, NY"	"HHS2"	"Heroin"	"T40.1"	"2015"	"2015"	1585	28753804	5.5
	"HHS Region #2  NJ, NY"	"HHS2"	"Heroin"	"T40.1"	"2016"	"2016"	2202	28689758	7.7
	"HHS Region #2  NJ, NY"	"HHS2"	"Heroin"	"T40.1"	"2017"	"2017"	2474	28855043	8.6
	"HHS Region #2  NJ, NY"	"HHS2"	"Other opioids"	"T40.2"	"2014"	"2014"	882	28684402	3.1
	"HHS Region #2  NJ, NY"	"HHS2"	"Other opioids"	"T40.2"	"2015"	"2015"	972	28753804	3.4
	"HHS Region #2  NJ, NY"	"HHS2"	"Other opioids"	"T40.2"	"2016"	"2016"	1293	28689758	4.5
	"HHS Region #2  NJ, NY"	"HHS2"	"Other opioids"	"T40.2"	"2017"	"2017"	1297	28855043	4.5
	"HHS Region #2  NJ, NY"	"HHS2"	"Methadone"	"T40.3"	"2014"	"2014"	297	28684402	1.0
	"HHS Region #2  NJ, NY"	"HHS2"	"Methadone"	"T40.3"	"2015"	"2015"	315	28753804	1.1
	"HHS Region #2  NJ, NY"	"HHS2"	"Methadone"	"T40.3"	"2016"	"2016"	392	28689758	1.4
	"HHS Region #2  NJ, NY"	"HHS2"	"Methadone"	"T40.3"	"2017"	"2017"	377	28855043	1.3
	"HHS Region #2  NJ, NY"	"HHS2"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	413	28684402	1.4
	"HHS Region #2  NJ, NY"	"HHS2"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	922	28753804	3.2
	"HHS Region #2  NJ, NY"	"HHS2"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	2370	28689758	8.3
	"HHS Region #2  NJ, NY"	"HHS2"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	3651	28855043	12.7
	"HHS Region #2  NJ, NY"	"HHS2"	"Cocaine"	"T40.5"	"2014"	"2014"	754	28684402	2.6
	"HHS Region #2  NJ, NY"	"HHS2"	"Cocaine"	"T40.5"	"2015"	"2015"	906	28753804	3.2
	"HHS Region #2  NJ, NY"	"HHS2"	"Cocaine"	"T40.5"	"2016"	"2016"	1482	28689758	5.2
	"HHS Region #2  NJ, NY"	"HHS2"	"Cocaine"	"T40.5"	"2017"	"2017"	1968	28855043	6.8
	"HHS Region #2  NJ, NY"	"HHS2"	"Other and unspecified narcotics"	"T40.6"	"2014"	"2014"	187	28684402	0.7
	"HHS Region #2  NJ, NY"	"HHS2"	"Other and unspecified narcotics"	"T40.6"	"2015"	"2015"	233	28753804	0.8
	"HHS Region #2  NJ, NY"	"HHS2"	"Other and unspecified narcotics"	"T40.6"	"2016"	"2016"	266	28689758	0.9
	"HHS Region #2  NJ, NY"	"HHS2"	"Other and unspecified narcotics"	"T40.6"	"2017"	"2017"	227	28855043	0.8
	"HHS Region #2  NJ, NY"	"HHS2"	"Cannabis (derivatives)"	"T40.7"	"2014"	"2014"	28	28684402	0.1
	"HHS Region #2  NJ, NY"	"HHS2"	"Cannabis (derivatives)"	"T40.7"	"2015"	"2015"	44	28753804	0.2
	"HHS Region #2  NJ, NY"	"HHS2"	"Cannabis (derivatives)"	"T40.7"	"2016"	"2016"	35	28689758	0.1
	"HHS Region #2  NJ, NY"	"HHS2"	"Cannabis (derivatives)"	"T40.7"	"2017"	"2017"	27	28855043	0.1
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2014"	"2014"	253	30534738	0.8
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2015"	"2015"	340	30654187	1.1
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	503	30676819	1.6
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2017"	"2017"	406	30799502	1.3
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2014"	"2014"	12	30534738	Unreliable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	21	30654187	0.1
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2016"	"2016"	30	30676819	0.1
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	42	30799502	0.1
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	358	30534738	1.2
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2015"	"2015"	352	30654187	1.1
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2016"	"2016"	589	30676819	1.9
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2017"	"2017"	694	30799502	2.3
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Heroin"	"T40.1"	"2014"	"2014"	1335	30534738	4.4
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Heroin"	"T40.1"	"2015"	"2015"	1756	30654187	5.7
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Heroin"	"T40.1"	"2016"	"2016"	2456	30676819	8.0
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Heroin"	"T40.1"	"2017"	"2017"	2402	30799502	7.8
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other opioids"	"T40.2"	"2014"	"2014"	1593	30534738	5.2
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other opioids"	"T40.2"	"2015"	"2015"	1600	30654187	5.2
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other opioids"	"T40.2"	"2016"	"2016"	2111	30676819	6.9
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other opioids"	"T40.2"	"2017"	"2017"	1848	30799502	6.0
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Methadone"	"T40.3"	"2014"	"2014"	421	30534738	1.4
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Methadone"	"T40.3"	"2015"	"2015"	395	30654187	1.3
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Methadone"	"T40.3"	"2016"	"2016"	464	30676819	1.5
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Methadone"	"T40.3"	"2017"	"2017"	470	30799502	1.5
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	793	30534738	2.6
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	1361	30654187	4.4
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	3720	30676819	12.1
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	5385	30799502	17.5
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Cocaine"	"T40.5"	"2014"	"2014"	592	30534738	1.9
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Cocaine"	"T40.5"	"2015"	"2015"	756	30654187	2.5
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Cocaine"	"T40.5"	"2016"	"2016"	1421	30676819	4.6
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Cocaine"	"T40.5"	"2017"	"2017"	2096	30799502	6.8
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other and unspecified narcotics"	"T40.6"	"2014"	"2014"	303	30534738	1.0
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other and unspecified narcotics"	"T40.6"	"2015"	"2015"	361	30654187	1.2
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other and unspecified narcotics"	"T40.6"	"2016"	"2016"	412	30676819	1.3
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Other and unspecified narcotics"	"T40.6"	"2017"	"2017"	364	30799502	1.2
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Cannabis (derivatives)"	"T40.7"	"2014"	"2014"	22	30534738	0.1
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Cannabis (derivatives)"	"T40.7"	"2015"	"2015"	59	30654187	0.2
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Cannabis (derivatives)"	"T40.7"	"2016"	"2016"	69	30676819	0.2
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Cannabis (derivatives)"	"T40.7"	"2017"	"2017"	51	30799502	0.2
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2014"	"2014"	195	63573351	0.3
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2015"	"2015"	259	64301783	0.4
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	255	64970911	0.4
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2017"	"2017"	234	65740587	0.4
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2014"	"2014"	42	63573351	0.1
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	63	64301783	0.1
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2016"	"2016"	66	64970911	0.1
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	100	65740587	0.2
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	905	63573351	1.4
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2015"	"2015"	1134	64301783	1.8
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2016"	"2016"	1540	64970911	2.4
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2017"	"2017"	1465	65740587	2.2
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Heroin"	"T40.1"	"2014"	"2014"	1365	63573351	2.1
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Heroin"	"T40.1"	"2015"	"2015"	1957	64301783	3.0
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Heroin"	"T40.1"	"2016"	"2016"	2316	64970911	3.6
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Heroin"	"T40.1"	"2017"	"2017"	2418	65740587	3.7
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other opioids"	"T40.2"	"2014"	"2014"	3016	63573351	4.7
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other opioids"	"T40.2"	"2015"	"2015"	3394	64301783	5.3
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other opioids"	"T40.2"	"2016"	"2016"	3847	64970911	5.9
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other opioids"	"T40.2"	"2017"	"2017"	3871	65740587	5.9
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Methadone"	"T40.3"	"2014"	"2014"	759	63573351	1.2
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Methadone"	"T40.3"	"2015"	"2015"	687	64301783	1.1
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Methadone"	"T40.3"	"2016"	"2016"	685	64970911	1.1
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Methadone"	"T40.3"	"2017"	"2017"	589	65740587	0.9
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	1258	63573351	2.0
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	2082	64301783	3.2
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	3799	64970911	5.8
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	5961	65740587	9.1
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Cocaine"	"T40.5"	"2014"	"2014"	1243	63573351	2.0
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Cocaine"	"T40.5"	"2015"	"2015"	1616	64301783	2.5
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Cocaine"	"T40.5"	"2016"	"2016"	2560	64970911	3.9
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Cocaine"	"T40.5"	"2017"	"2017"	3387	65740587	5.2
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other and unspecified narcotics"	"T40.6"	"2014"	"2014"	299	63573351	0.5
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other and unspecified narcotics"	"T40.6"	"2015"	"2015"	352	64301783	0.5
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other and unspecified narcotics"	"T40.6"	"2016"	"2016"	352	64970911	0.5
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Other and unspecified narcotics"	"T40.6"	"2017"	"2017"	370	65740587	0.6
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Cannabis (derivatives)"	"T40.7"	"2014"	"2014"	70	63573351	0.1
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Cannabis (derivatives)"	"T40.7"	"2015"	"2015"	102	64301783	0.2
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Cannabis (derivatives)"	"T40.7"	"2016"	"2016"	165	64970911	0.3
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Cannabis (derivatives)"	"T40.7"	"2017"	"2017"	183	65740587	0.3
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2014"	"2014"	160	52196212	0.3
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2015"	"2015"	181	52276605	0.3
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	215	52275925	0.4
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2017"	"2017"	203	52461850	0.4
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2014"	"2014"	31	52196212	0.1
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	54	52276605	0.1
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2016"	"2016"	48	52275925	0.1
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	82	52461850	0.2
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	667	52196212	1.3
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2015"	"2015"	858	52276605	1.6
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2016"	"2016"	1241	52275925	2.4
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2017"	"2017"	951	52461850	1.8
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Heroin"	"T40.1"	"2014"	"2014"	3033	52196212	5.8
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Heroin"	"T40.1"	"2015"	"2015"	3615	52276605	6.9
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Heroin"	"T40.1"	"2016"	"2016"	4134	52275925	7.9
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Heroin"	"T40.1"	"2017"	"2017"	3872	52461850	7.4
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other opioids"	"T40.2"	"2014"	"2014"	1818	52196212	3.5
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other opioids"	"T40.2"	"2015"	"2015"	1953	52276605	3.7
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other opioids"	"T40.2"	"2016"	"2016"	2513	52275925	4.8
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Other opioids"	"T40.2"	"2017"	"2017"	2819	52461850	5.4
