"Notes"	"Census Division"	"Census Division Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Oct., 2016"	"2016/10"	101	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Nov., 2016"	"2016/11"	103	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Dec., 2016"	"2016/12"	109	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jan., 2017"	"2017/01"	97	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Feb., 2017"	"2017/02"	95	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Mar., 2017"	"2017/03"	95	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Apr., 2017"	"2017/04"	104	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"May, 2017"	"2017/05"	93	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jun., 2017"	"2017/06"	84	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jul., 2017"	"2017/07"	93	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Aug., 2017"	"2017/08"	89	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Sep., 2017"	"2017/09"	91	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Oct., 2017"	"2017/10"	100	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Nov., 2017"	"2017/11"	95	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Dec., 2017"	"2017/12"	111	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Female"	"F"			4080	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jan., 2014"	"2014/01"	175	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Feb., 2014"	"2014/02"	175	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Mar., 2014"	"2014/03"	151	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Apr., 2014"	"2014/04"	126	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"May, 2014"	"2014/05"	151	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jun., 2014"	"2014/06"	153	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jul., 2014"	"2014/07"	120	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Aug., 2014"	"2014/08"	167	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Sep., 2014"	"2014/09"	131	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Oct., 2014"	"2014/10"	177	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Nov., 2014"	"2014/11"	146	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Dec., 2014"	"2014/12"	164	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jan., 2015"	"2015/01"	212	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Feb., 2015"	"2015/02"	207	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Mar., 2015"	"2015/03"	217	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Apr., 2015"	"2015/04"	195	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"May, 2015"	"2015/05"	199	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jun., 2015"	"2015/06"	187	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jul., 2015"	"2015/07"	216	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Aug., 2015"	"2015/08"	196	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Sep., 2015"	"2015/09"	233	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Oct., 2015"	"2015/10"	267	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Nov., 2015"	"2015/11"	210	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Dec., 2015"	"2015/12"	175	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jan., 2016"	"2016/01"	230	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Feb., 2016"	"2016/02"	269	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Mar., 2016"	"2016/03"	261	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Apr., 2016"	"2016/04"	292	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"May, 2016"	"2016/05"	270	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jun., 2016"	"2016/06"	256	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jul., 2016"	"2016/07"	265	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Aug., 2016"	"2016/08"	247	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Sep., 2016"	"2016/09"	279	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Oct., 2016"	"2016/10"	252	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Nov., 2016"	"2016/11"	259	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Dec., 2016"	"2016/12"	236	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jan., 2017"	"2017/01"	251	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Feb., 2017"	"2017/02"	240	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Mar., 2017"	"2017/03"	285	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Apr., 2017"	"2017/04"	266	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"May, 2017"	"2017/05"	246	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jun., 2017"	"2017/06"	256	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Jul., 2017"	"2017/07"	295	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Aug., 2017"	"2017/08"	284	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Sep., 2017"	"2017/09"	292	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Oct., 2017"	"2017/10"	271	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Nov., 2017"	"2017/11"	262	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Male"	"M"	"Dec., 2017"	"2017/12"	297	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Male"	"M"			10711	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"					14791	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jan., 2014"	"2014/01"	128	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Feb., 2014"	"2014/02"	93	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Mar., 2014"	"2014/03"	119	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Apr., 2014"	"2014/04"	101	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"May, 2014"	"2014/05"	107	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jun., 2014"	"2014/06"	83	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jul., 2014"	"2014/07"	98	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Aug., 2014"	"2014/08"	92	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Sep., 2014"	"2014/09"	95	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Oct., 2014"	"2014/10"	127	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Nov., 2014"	"2014/11"	102	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Dec., 2014"	"2014/12"	105	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jan., 2015"	"2015/01"	111	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Feb., 2015"	"2015/02"	103	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Mar., 2015"	"2015/03"	127	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Apr., 2015"	"2015/04"	128	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"May, 2015"	"2015/05"	121	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jun., 2015"	"2015/06"	117	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jul., 2015"	"2015/07"	123	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Aug., 2015"	"2015/08"	142	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Sep., 2015"	"2015/09"	104	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Oct., 2015"	"2015/10"	136	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Nov., 2015"	"2015/11"	106	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Dec., 2015"	"2015/12"	107	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jan., 2016"	"2016/01"	138	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Feb., 2016"	"2016/02"	181	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Mar., 2016"	"2016/03"	186	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Apr., 2016"	"2016/04"	187	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"May, 2016"	"2016/05"	144	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jun., 2016"	"2016/06"	142	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jul., 2016"	"2016/07"	192	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Aug., 2016"	"2016/08"	164	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Sep., 2016"	"2016/09"	179	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Oct., 2016"	"2016/10"	192	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Nov., 2016"	"2016/11"	196	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Dec., 2016"	"2016/12"	219	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jan., 2017"	"2017/01"	237	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Feb., 2017"	"2017/02"	211	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Mar., 2017"	"2017/03"	209	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Apr., 2017"	"2017/04"	212	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"May, 2017"	"2017/05"	199	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jun., 2017"	"2017/06"	190	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Jul., 2017"	"2017/07"	202	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Aug., 2017"	"2017/08"	206	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Sep., 2017"	"2017/09"	180	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Oct., 2017"	"2017/10"	155	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Nov., 2017"	"2017/11"	170	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"	"Dec., 2017"	"2017/12"	183	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Female"	"F"			7149	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jan., 2014"	"2014/01"	294	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Feb., 2014"	"2014/02"	218	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Mar., 2014"	"2014/03"	279	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Apr., 2014"	"2014/04"	211	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"May, 2014"	"2014/05"	257	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jun., 2014"	"2014/06"	245	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jul., 2014"	"2014/07"	249	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Aug., 2014"	"2014/08"	224	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Sep., 2014"	"2014/09"	223	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Oct., 2014"	"2014/10"	260	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Nov., 2014"	"2014/11"	224	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Dec., 2014"	"2014/12"	267	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jan., 2015"	"2015/01"	293	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Feb., 2015"	"2015/02"	273	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Mar., 2015"	"2015/03"	289	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Apr., 2015"	"2015/04"	345	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"May, 2015"	"2015/05"	333	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jun., 2015"	"2015/06"	293	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jul., 2015"	"2015/07"	316	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Aug., 2015"	"2015/08"	312	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Sep., 2015"	"2015/09"	337	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Oct., 2015"	"2015/10"	300	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Nov., 2015"	"2015/11"	294	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Dec., 2015"	"2015/12"	280	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jan., 2016"	"2016/01"	365	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Feb., 2016"	"2016/02"	400	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Mar., 2016"	"2016/03"	461	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Apr., 2016"	"2016/04"	491	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"May, 2016"	"2016/05"	415	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jun., 2016"	"2016/06"	395	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jul., 2016"	"2016/07"	491	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Aug., 2016"	"2016/08"	454	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Sep., 2016"	"2016/09"	444	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Oct., 2016"	"2016/10"	501	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Nov., 2016"	"2016/11"	506	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Dec., 2016"	"2016/12"	576	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jan., 2017"	"2017/01"	607	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Feb., 2017"	"2017/02"	528	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Mar., 2017"	"2017/03"	626	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Apr., 2017"	"2017/04"	570	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"May, 2017"	"2017/05"	591	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jun., 2017"	"2017/06"	558	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Jul., 2017"	"2017/07"	512	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Aug., 2017"	"2017/08"	543	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Sep., 2017"	"2017/09"	546	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Oct., 2017"	"2017/10"	443	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Nov., 2017"	"2017/11"	445	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"	"Dec., 2017"	"2017/12"	476	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Male"	"M"			18560	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"					25709	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Jan., 2014"	"2014/01"	170	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Feb., 2014"	"2014/02"	183	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Mar., 2014"	"2014/03"	199	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Apr., 2014"	"2014/04"	152	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"May, 2014"	"2014/05"	159	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Jun., 2014"	"2014/06"	164	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Jul., 2014"	"2014/07"	181	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Aug., 2014"	"2014/08"	163	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Sep., 2014"	"2014/09"	172	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Oct., 2014"	"2014/10"	182	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Nov., 2014"	"2014/11"	191	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Dec., 2014"	"2014/12"	180	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Jan., 2015"	"2015/01"	185	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Feb., 2015"	"2015/02"	183	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Mar., 2015"	"2015/03"	230	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"Apr., 2015"	"2015/04"	229	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Female"	"F"	"May, 2015"	"2015/05"	221	Not Applicable	Not Applicable
