"Notes"	"Census Division"	"Census Division Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jan., 2017"	"2017/01"	25	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Feb., 2017"	"2017/02"	31	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Mar., 2017"	"2017/03"	22	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Apr., 2017"	"2017/04"	25	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"May, 2017"	"2017/05"	15	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jun., 2017"	"2017/06"	27	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jul., 2017"	"2017/07"	21	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Aug., 2017"	"2017/08"	24	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Sep., 2017"	"2017/09"	27	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Oct., 2017"	"2017/10"	15	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Nov., 2017"	"2017/11"	23	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Dec., 2017"	"2017/12"	38	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jan., 2014"	"2014/01"	29	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Feb., 2014"	"2014/02"	42	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Mar., 2014"	"2014/03"	32	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Apr., 2014"	"2014/04"	30	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"May, 2014"	"2014/05"	33	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jun., 2014"	"2014/06"	24	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jul., 2014"	"2014/07"	17	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Aug., 2014"	"2014/08"	29	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Sep., 2014"	"2014/09"	34	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Oct., 2014"	"2014/10"	39	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Nov., 2014"	"2014/11"	31	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Dec., 2014"	"2014/12"	38	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jan., 2015"	"2015/01"	37	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Feb., 2015"	"2015/02"	45	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Mar., 2015"	"2015/03"	40	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Apr., 2015"	"2015/04"	30	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"May, 2015"	"2015/05"	41	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jun., 2015"	"2015/06"	38	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jul., 2015"	"2015/07"	44	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Aug., 2015"	"2015/08"	37	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Sep., 2015"	"2015/09"	63	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Oct., 2015"	"2015/10"	54	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Nov., 2015"	"2015/11"	35	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Dec., 2015"	"2015/12"	24	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jan., 2016"	"2016/01"	41	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Feb., 2016"	"2016/02"	50	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Mar., 2016"	"2016/03"	62	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Apr., 2016"	"2016/04"	53	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"May, 2016"	"2016/05"	52	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jun., 2016"	"2016/06"	60	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jul., 2016"	"2016/07"	49	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Aug., 2016"	"2016/08"	48	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Sep., 2016"	"2016/09"	56	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Oct., 2016"	"2016/10"	47	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Nov., 2016"	"2016/11"	45	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Dec., 2016"	"2016/12"	48	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jan., 2017"	"2017/01"	31	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Feb., 2017"	"2017/02"	38	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Mar., 2017"	"2017/03"	52	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Apr., 2017"	"2017/04"	48	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"May, 2017"	"2017/05"	36	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jun., 2017"	"2017/06"	53	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Jul., 2017"	"2017/07"	56	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Aug., 2017"	"2017/08"	56	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Sep., 2017"	"2017/09"	59	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Oct., 2017"	"2017/10"	57	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Nov., 2017"	"2017/11"	41	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	"Dec., 2017"	"2017/12"	43	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jan., 2014"	"2014/01"	43	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Feb., 2014"	"2014/02"	37	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Mar., 2014"	"2014/03"	32	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Apr., 2014"	"2014/04"	18	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"May, 2014"	"2014/05"	28	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jun., 2014"	"2014/06"	23	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jul., 2014"	"2014/07"	22	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Aug., 2014"	"2014/08"	28	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Sep., 2014"	"2014/09"	19	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Oct., 2014"	"2014/10"	41	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Nov., 2014"	"2014/11"	24	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Dec., 2014"	"2014/12"	37	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jan., 2015"	"2015/01"	36	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Feb., 2015"	"2015/02"	44	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Mar., 2015"	"2015/03"	39	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Apr., 2015"	"2015/04"	51	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"May, 2015"	"2015/05"	27	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jun., 2015"	"2015/06"	51	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jul., 2015"	"2015/07"	32	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Aug., 2015"	"2015/08"	42	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Sep., 2015"	"2015/09"	49	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Oct., 2015"	"2015/10"	52	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Nov., 2015"	"2015/11"	51	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Dec., 2015"	"2015/12"	34	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jan., 2016"	"2016/01"	55	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Feb., 2016"	"2016/02"	52	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Mar., 2016"	"2016/03"	53	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Apr., 2016"	"2016/04"	54	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"May, 2016"	"2016/05"	51	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jun., 2016"	"2016/06"	65	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jul., 2016"	"2016/07"	57	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Aug., 2016"	"2016/08"	49	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Sep., 2016"	"2016/09"	66	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Oct., 2016"	"2016/10"	48	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Nov., 2016"	"2016/11"	48	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Dec., 2016"	"2016/12"	52	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jan., 2017"	"2017/01"	55	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Feb., 2017"	"2017/02"	55	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Mar., 2017"	"2017/03"	56	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Apr., 2017"	"2017/04"	58	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"May, 2017"	"2017/05"	47	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jun., 2017"	"2017/06"	54	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Jul., 2017"	"2017/07"	56	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Aug., 2017"	"2017/08"	55	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Sep., 2017"	"2017/09"	65	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Oct., 2017"	"2017/10"	65	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Nov., 2017"	"2017/11"	54	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	"Dec., 2017"	"2017/12"	71	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jan., 2014"	"2014/01"	26	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Feb., 2014"	"2014/02"	34	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Mar., 2014"	"2014/03"	30	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Apr., 2014"	"2014/04"	15	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"May, 2014"	"2014/05"	23	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jun., 2014"	"2014/06"	30	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jul., 2014"	"2014/07"	21	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Aug., 2014"	"2014/08"	27	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Sep., 2014"	"2014/09"	23	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Oct., 2014"	"2014/10"	26	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Nov., 2014"	"2014/11"	20	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Dec., 2014"	"2014/12"	31	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jan., 2015"	"2015/01"	35	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Feb., 2015"	"2015/02"	40	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Mar., 2015"	"2015/03"	39	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Apr., 2015"	"2015/04"	34	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"May, 2015"	"2015/05"	37	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jun., 2015"	"2015/06"	31	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jul., 2015"	"2015/07"	37	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Aug., 2015"	"2015/08"	44	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Sep., 2015"	"2015/09"	40	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Oct., 2015"	"2015/10"	47	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Nov., 2015"	"2015/11"	35	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Dec., 2015"	"2015/12"	23	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jan., 2016"	"2016/01"	33	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Feb., 2016"	"2016/02"	53	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Mar., 2016"	"2016/03"	44	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Apr., 2016"	"2016/04"	34	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"May, 2016"	"2016/05"	57	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jun., 2016"	"2016/06"	47	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jul., 2016"	"2016/07"	51	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Aug., 2016"	"2016/08"	45	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Sep., 2016"	"2016/09"	41	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Oct., 2016"	"2016/10"	48	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Nov., 2016"	"2016/11"	51	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Dec., 2016"	"2016/12"	46	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jan., 2017"	"2017/01"	54	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Feb., 2017"	"2017/02"	43	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Mar., 2017"	"2017/03"	57	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Apr., 2017"	"2017/04"	48	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"May, 2017"	"2017/05"	52	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jun., 2017"	"2017/06"	38	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Jul., 2017"	"2017/07"	52	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Aug., 2017"	"2017/08"	57	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Sep., 2017"	"2017/09"	66	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Oct., 2017"	"2017/10"	45	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Nov., 2017"	"2017/11"	32	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	"Dec., 2017"	"2017/12"	51	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Jan., 2014"	"2014/01"	33	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Feb., 2014"	"2014/02"	28	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Mar., 2014"	"2014/03"	28	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Apr., 2014"	"2014/04"	22	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"May, 2014"	"2014/05"	25	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Jun., 2014"	"2014/06"	32	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Jul., 2014"	"2014/07"	16	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Aug., 2014"	"2014/08"	29	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Sep., 2014"	"2014/09"	17	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Oct., 2014"	"2014/10"	36	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Nov., 2014"	"2014/11"	27	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Dec., 2014"	"2014/12"	21	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Jan., 2015"	"2015/01"	31	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Feb., 2015"	"2015/02"	28	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Mar., 2015"	"2015/03"	32	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"Apr., 2015"	"2015/04"	27	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	"May, 2015"	"2015/05"	20	Not Applicable	Not Applicable
