"Notes"	"HHS Region"	"HHS Region Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Jul., 2017"	"2017/07"	388	Not Applicable	Not Applicable
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Aug., 2017"	"2017/08"	373	Not Applicable	Not Applicable
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Sep., 2017"	"2017/09"	383	Not Applicable	Not Applicable
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Oct., 2017"	"2017/10"	371	Not Applicable	Not Applicable
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Nov., 2017"	"2017/11"	357	Not Applicable	Not Applicable
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Dec., 2017"	"2017/12"	408	Not Applicable	Not Applicable
"Total"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"			14791	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jan., 2014"	"2014/01"	293	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Feb., 2014"	"2014/02"	219	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Mar., 2014"	"2014/03"	282	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Apr., 2014"	"2014/04"	211	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"May, 2014"	"2014/05"	262	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jun., 2014"	"2014/06"	227	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jul., 2014"	"2014/07"	249	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Aug., 2014"	"2014/08"	219	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Sep., 2014"	"2014/09"	219	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Oct., 2014"	"2014/10"	271	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Nov., 2014"	"2014/11"	236	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Dec., 2014"	"2014/12"	263	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jan., 2015"	"2015/01"	276	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Feb., 2015"	"2015/02"	263	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Mar., 2015"	"2015/03"	296	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Apr., 2015"	"2015/04"	324	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"May, 2015"	"2015/05"	311	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jun., 2015"	"2015/06"	271	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jul., 2015"	"2015/07"	318	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Aug., 2015"	"2015/08"	328	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Sep., 2015"	"2015/09"	308	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Oct., 2015"	"2015/10"	305	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Nov., 2015"	"2015/11"	282	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Dec., 2015"	"2015/12"	274	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jan., 2016"	"2016/01"	364	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Feb., 2016"	"2016/02"	408	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Mar., 2016"	"2016/03"	476	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Apr., 2016"	"2016/04"	490	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"May, 2016"	"2016/05"	402	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jun., 2016"	"2016/06"	374	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jul., 2016"	"2016/07"	475	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Aug., 2016"	"2016/08"	400	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Sep., 2016"	"2016/09"	396	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Oct., 2016"	"2016/10"	448	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Nov., 2016"	"2016/11"	435	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Dec., 2016"	"2016/12"	486	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jan., 2017"	"2017/01"	558	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Feb., 2017"	"2017/02"	451	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Mar., 2017"	"2017/03"	561	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Apr., 2017"	"2017/04"	519	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"May, 2017"	"2017/05"	558	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jun., 2017"	"2017/06"	529	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Jul., 2017"	"2017/07"	494	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Aug., 2017"	"2017/08"	482	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Sep., 2017"	"2017/09"	521	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Oct., 2017"	"2017/10"	416	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Nov., 2017"	"2017/11"	416	Not Applicable	Not Applicable
	"HHS Region #2  NJ, NY"	"HHS2"	"Dec., 2017"	"2017/12"	481	Not Applicable	Not Applicable
"Total"	"HHS Region #2  NJ, NY"	"HHS2"			17647	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jan., 2014"	"2014/01"	348	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Feb., 2014"	"2014/02"	287	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mar., 2014"	"2014/03"	346	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Apr., 2014"	"2014/04"	320	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"May, 2014"	"2014/05"	322	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jun., 2014"	"2014/06"	325	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jul., 2014"	"2014/07"	350	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Aug., 2014"	"2014/08"	324	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Sep., 2014"	"2014/09"	306	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Oct., 2014"	"2014/10"	354	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Nov., 2014"	"2014/11"	313	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Dec., 2014"	"2014/12"	349	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jan., 2015"	"2015/01"	397	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Feb., 2015"	"2015/02"	359	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mar., 2015"	"2015/03"	371	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Apr., 2015"	"2015/04"	379	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"May, 2015"	"2015/05"	375	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jun., 2015"	"2015/06"	377	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jul., 2015"	"2015/07"	373	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Aug., 2015"	"2015/08"	382	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Sep., 2015"	"2015/09"	396	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Oct., 2015"	"2015/10"	442	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Nov., 2015"	"2015/11"	354	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Dec., 2015"	"2015/12"	414	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jan., 2016"	"2016/01"	390	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Feb., 2016"	"2016/02"	532	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mar., 2016"	"2016/03"	553	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Apr., 2016"	"2016/04"	542	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"May, 2016"	"2016/05"	569	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jun., 2016"	"2016/06"	562	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jul., 2016"	"2016/07"	600	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Aug., 2016"	"2016/08"	620	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Sep., 2016"	"2016/09"	614	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Oct., 2016"	"2016/10"	616	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Nov., 2016"	"2016/11"	687	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Dec., 2016"	"2016/12"	744	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jan., 2017"	"2017/01"	739	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Feb., 2017"	"2017/02"	703	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mar., 2017"	"2017/03"	714	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Apr., 2017"	"2017/04"	710	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"May, 2017"	"2017/05"	675	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jun., 2017"	"2017/06"	655	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Jul., 2017"	"2017/07"	651	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Aug., 2017"	"2017/08"	676	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Sep., 2017"	"2017/09"	586	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Oct., 2017"	"2017/10"	559	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Nov., 2017"	"2017/11"	604	Not Applicable	Not Applicable
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Dec., 2017"	"2017/12"	650	Not Applicable	Not Applicable
"Total"	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"			23514	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jan., 2014"	"2014/01"	544	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Feb., 2014"	"2014/02"	558	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mar., 2014"	"2014/03"	527	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Apr., 2014"	"2014/04"	508	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"May, 2014"	"2014/05"	488	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jun., 2014"	"2014/06"	502	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jul., 2014"	"2014/07"	551	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Aug., 2014"	"2014/08"	620	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Sep., 2014"	"2014/09"	529	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Oct., 2014"	"2014/10"	554	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Nov., 2014"	"2014/11"	598	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Dec., 2014"	"2014/12"	628	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jan., 2015"	"2015/01"	677	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Feb., 2015"	"2015/02"	673	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mar., 2015"	"2015/03"	715	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Apr., 2015"	"2015/04"	626	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"May, 2015"	"2015/05"	672	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jun., 2015"	"2015/06"	597	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jul., 2015"	"2015/07"	711	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Aug., 2015"	"2015/08"	698	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Sep., 2015"	"2015/09"	652	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Oct., 2015"	"2015/10"	676	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Nov., 2015"	"2015/11"	638	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Dec., 2015"	"2015/12"	678	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jan., 2016"	"2016/01"	727	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Feb., 2016"	"2016/02"	734	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mar., 2016"	"2016/03"	898	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Apr., 2016"	"2016/04"	784	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"May, 2016"	"2016/05"	797	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jun., 2016"	"2016/06"	852	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jul., 2016"	"2016/07"	886	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Aug., 2016"	"2016/08"	918	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Sep., 2016"	"2016/09"	856	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Oct., 2016"	"2016/10"	975	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Nov., 2016"	"2016/11"	916	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Dec., 2016"	"2016/12"	993	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jan., 2017"	"2017/01"	1021	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Feb., 2017"	"2017/02"	961	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Mar., 2017"	"2017/03"	1071	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Apr., 2017"	"2017/04"	996	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"May, 2017"	"2017/05"	1001	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jun., 2017"	"2017/06"	1002	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Jul., 2017"	"2017/07"	920	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Aug., 2017"	"2017/08"	1028	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Sep., 2017"	"2017/09"	963	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Oct., 2017"	"2017/10"	972	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Nov., 2017"	"2017/11"	929	Not Applicable	Not Applicable
	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"Dec., 2017"	"2017/12"	1078	Not Applicable	Not Applicable
"Total"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"			36898	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Jan., 2014"	"2014/01"	515	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Feb., 2014"	"2014/02"	533	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Mar., 2014"	"2014/03"	599	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Apr., 2014"	"2014/04"	479	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"May, 2014"	"2014/05"	513	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Jun., 2014"	"2014/06"	535	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Jul., 2014"	"2014/07"	582	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Aug., 2014"	"2014/08"	563	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Sep., 2014"	"2014/09"	569	Not Applicable	Not Applicable
	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"Oct., 2014"	"2014/10"	639	Not Applicable	Not Applicable
