"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Feb., 2017"	"2017/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Mar., 2017"	"2017/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Apr., 2017"	"2017/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"May, 2017"	"2017/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jun., 2017"	"2017/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jul., 2017"	"2017/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Aug., 2017"	"2017/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Sep., 2017"	"2017/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Oct., 2017"	"2017/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Nov., 2017"	"2017/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Dec., 2017"	"2017/12"	0	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"			0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jan., 2014"	"2014/01"	95	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Feb., 2014"	"2014/02"	88	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Mar., 2014"	"2014/03"	70	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Apr., 2014"	"2014/04"	76	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"May, 2014"	"2014/05"	74	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jun., 2014"	"2014/06"	95	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jul., 2014"	"2014/07"	98	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Aug., 2014"	"2014/08"	84	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Sep., 2014"	"2014/09"	87	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Oct., 2014"	"2014/10"	80	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Nov., 2014"	"2014/11"	81	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Dec., 2014"	"2014/12"	95	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jan., 2015"	"2015/01"	100	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Feb., 2015"	"2015/02"	94	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Mar., 2015"	"2015/03"	87	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Apr., 2015"	"2015/04"	108	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"May, 2015"	"2015/05"	88	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jun., 2015"	"2015/06"	95	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jul., 2015"	"2015/07"	104	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Aug., 2015"	"2015/08"	105	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Sep., 2015"	"2015/09"	97	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Oct., 2015"	"2015/10"	114	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Nov., 2015"	"2015/11"	120	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Dec., 2015"	"2015/12"	102	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jan., 2016"	"2016/01"	107	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Feb., 2016"	"2016/02"	123	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Mar., 2016"	"2016/03"	130	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Apr., 2016"	"2016/04"	132	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"May, 2016"	"2016/05"	121	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jun., 2016"	"2016/06"	123	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jul., 2016"	"2016/07"	142	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Aug., 2016"	"2016/08"	112	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Sep., 2016"	"2016/09"	131	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Oct., 2016"	"2016/10"	104	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Nov., 2016"	"2016/11"	128	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Dec., 2016"	"2016/12"	124	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jan., 2017"	"2017/01"	129	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Feb., 2017"	"2017/02"	119	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Mar., 2017"	"2017/03"	131	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Apr., 2017"	"2017/04"	108	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"May, 2017"	"2017/05"	87	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jun., 2017"	"2017/06"	97	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Jul., 2017"	"2017/07"	119	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Aug., 2017"	"2017/08"	113	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Sep., 2017"	"2017/09"	90	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Oct., 2017"	"2017/10"	93	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Nov., 2017"	"2017/11"	122	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"Dec., 2017"	"2017/12"	129	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"			5051	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jan., 2014"	"2014/01"	23	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Feb., 2014"	"2014/02"	20	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Mar., 2014"	"2014/03"	23	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Apr., 2014"	"2014/04"	19	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"May, 2014"	"2014/05"	17	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jun., 2014"	"2014/06"	23	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jul., 2014"	"2014/07"	18	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Aug., 2014"	"2014/08"	18	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Sep., 2014"	"2014/09"	18	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Oct., 2014"	"2014/10"	18	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Nov., 2014"	"2014/11"	13	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Dec., 2014"	"2014/12"	24	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jan., 2015"	"2015/01"	35	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Feb., 2015"	"2015/02"	18	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Mar., 2015"	"2015/03"	21	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Apr., 2015"	"2015/04"	32	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"May, 2015"	"2015/05"	25	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jun., 2015"	"2015/06"	24	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jul., 2015"	"2015/07"	23	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Aug., 2015"	"2015/08"	44	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Sep., 2015"	"2015/09"	26	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Oct., 2015"	"2015/10"	27	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Nov., 2015"	"2015/11"	33	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Dec., 2015"	"2015/12"	26	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jan., 2016"	"2016/01"	33	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Feb., 2016"	"2016/02"	34	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Mar., 2016"	"2016/03"	37	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Apr., 2016"	"2016/04"	27	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"May, 2016"	"2016/05"	26	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jun., 2016"	"2016/06"	25	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jul., 2016"	"2016/07"	36	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Aug., 2016"	"2016/08"	29	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Sep., 2016"	"2016/09"	29	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Oct., 2016"	"2016/10"	25	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Nov., 2016"	"2016/11"	41	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Dec., 2016"	"2016/12"	29	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jan., 2017"	"2017/01"	49	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Feb., 2017"	"2017/02"	48	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Mar., 2017"	"2017/03"	44	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Apr., 2017"	"2017/04"	49	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"May, 2017"	"2017/05"	30	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jun., 2017"	"2017/06"	26	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Jul., 2017"	"2017/07"	50	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Aug., 2017"	"2017/08"	32	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Sep., 2017"	"2017/09"	39	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Oct., 2017"	"2017/10"	43	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Nov., 2017"	"2017/11"	37	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"Dec., 2017"	"2017/12"	46	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"			1432	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jan., 2014"	"2014/01"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Feb., 2014"	"2014/02"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Mar., 2014"	"2014/03"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Apr., 2014"	"2014/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"May, 2014"	"2014/05"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jul., 2014"	"2014/07"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Aug., 2014"	"2014/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Sep., 2014"	"2014/09"	2	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Oct., 2014"	"2014/10"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Nov., 2014"	"2014/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Dec., 2014"	"2014/12"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jan., 2015"	"2015/01"	2	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Feb., 2015"	"2015/02"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Mar., 2015"	"2015/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Apr., 2015"	"2015/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"May, 2015"	"2015/05"	3	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jul., 2015"	"2015/07"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Aug., 2015"	"2015/08"	2	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Sep., 2015"	"2015/09"	3	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Oct., 2015"	"2015/10"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Nov., 2015"	"2015/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Dec., 2015"	"2015/12"	3	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jan., 2016"	"2016/01"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Feb., 2016"	"2016/02"	4	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Mar., 2016"	"2016/03"	3	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Apr., 2016"	"2016/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"May, 2016"	"2016/05"	4	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jun., 2016"	"2016/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jul., 2016"	"2016/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Aug., 2016"	"2016/08"	3	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Sep., 2016"	"2016/09"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Oct., 2016"	"2016/10"	4	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Nov., 2016"	"2016/11"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Dec., 2016"	"2016/12"	2	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jan., 2017"	"2017/01"	2	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Feb., 2017"	"2017/02"	3	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Mar., 2017"	"2017/03"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Apr., 2017"	"2017/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"May, 2017"	"2017/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jun., 2017"	"2017/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Jul., 2017"	"2017/07"	4	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Aug., 2017"	"2017/08"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Sep., 2017"	"2017/09"	3	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Oct., 2017"	"2017/10"	2	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Nov., 2017"	"2017/11"	1	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"	"Dec., 2017"	"2017/12"	1	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders due to use of opioids, withdrawal state"	"F11.3"			66	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jan., 2014"	"2014/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Feb., 2014"	"2014/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Mar., 2014"	"2014/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Apr., 2014"	"2014/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"May, 2014"	"2014/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"	"F11.4"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
