"Notes"	"Census Division"	"Census Division Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Oct., 2015"	"2015/10"	356	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2015"	"2015/11"	299	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2015"	"2015/12"	238	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jan., 2016"	"2016/01"	320	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2016"	"2016/02"	366	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Mar., 2016"	"2016/03"	365	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2016"	"2016/04"	388	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2016"	"2016/05"	374	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2016"	"2016/06"	356	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2016"	"2016/07"	378	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2016"	"2016/08"	342	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2016"	"2016/09"	369	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Oct., 2016"	"2016/10"	353	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2016"	"2016/11"	362	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2016"	"2016/12"	345	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jan., 2017"	"2017/01"	348	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2017"	"2017/02"	335	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Mar., 2017"	"2017/03"	380	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2017"	"2017/04"	370	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2017"	"2017/05"	339	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2017"	"2017/06"	340	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2017"	"2017/07"	388	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2017"	"2017/08"	373	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2017"	"2017/09"	383	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Oct., 2017"	"2017/10"	371	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2017"	"2017/11"	357	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2017"	"2017/12"	408	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"			14791	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jan., 2014"	"2014/01"	422	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Feb., 2014"	"2014/02"	311	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2014"	"2014/03"	398	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2014"	"2014/04"	312	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2014"	"2014/05"	364	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2014"	"2014/06"	328	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2014"	"2014/07"	347	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2014"	"2014/08"	316	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Sep., 2014"	"2014/09"	318	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Oct., 2014"	"2014/10"	387	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Nov., 2014"	"2014/11"	326	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Dec., 2014"	"2014/12"	372	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jan., 2015"	"2015/01"	404	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Feb., 2015"	"2015/02"	376	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2015"	"2015/03"	416	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2015"	"2015/04"	473	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2015"	"2015/05"	454	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2015"	"2015/06"	410	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2015"	"2015/07"	439	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2015"	"2015/08"	454	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Sep., 2015"	"2015/09"	441	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Oct., 2015"	"2015/10"	436	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Nov., 2015"	"2015/11"	400	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Dec., 2015"	"2015/12"	387	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jan., 2016"	"2016/01"	503	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Feb., 2016"	"2016/02"	581	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2016"	"2016/03"	647	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2016"	"2016/04"	678	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2016"	"2016/05"	559	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2016"	"2016/06"	537	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2016"	"2016/07"	683	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2016"	"2016/08"	618	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Sep., 2016"	"2016/09"	623	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Oct., 2016"	"2016/10"	693	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Nov., 2016"	"2016/11"	702	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Dec., 2016"	"2016/12"	795	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jan., 2017"	"2017/01"	844	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Feb., 2017"	"2017/02"	739	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2017"	"2017/03"	835	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2017"	"2017/04"	782	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2017"	"2017/05"	790	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2017"	"2017/06"	748	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2017"	"2017/07"	714	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2017"	"2017/08"	749	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Sep., 2017"	"2017/09"	726	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Oct., 2017"	"2017/10"	598	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Nov., 2017"	"2017/11"	615	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Dec., 2017"	"2017/12"	659	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"			25709	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jan., 2014"	"2014/01"	478	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Feb., 2014"	"2014/02"	502	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Mar., 2014"	"2014/03"	557	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Apr., 2014"	"2014/04"	455	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"May, 2014"	"2014/05"	480	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jun., 2014"	"2014/06"	504	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jul., 2014"	"2014/07"	548	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Aug., 2014"	"2014/08"	537	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Sep., 2014"	"2014/09"	538	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Oct., 2014"	"2014/10"	600	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Nov., 2014"	"2014/11"	558	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Dec., 2014"	"2014/12"	543	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jan., 2015"	"2015/01"	570	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Feb., 2015"	"2015/02"	559	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Mar., 2015"	"2015/03"	657	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Apr., 2015"	"2015/04"	680	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"May, 2015"	"2015/05"	647	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jun., 2015"	"2015/06"	559	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jul., 2015"	"2015/07"	584	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Aug., 2015"	"2015/08"	597	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Sep., 2015"	"2015/09"	663	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Oct., 2015"	"2015/10"	663	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Nov., 2015"	"2015/11"	664	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Dec., 2015"	"2015/12"	635	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jan., 2016"	"2016/01"	713	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Feb., 2016"	"2016/02"	802	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Mar., 2016"	"2016/03"	894	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Apr., 2016"	"2016/04"	819	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"May, 2016"	"2016/05"	804	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jun., 2016"	"2016/06"	738	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jul., 2016"	"2016/07"	855	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Aug., 2016"	"2016/08"	853	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Sep., 2016"	"2016/09"	931	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Oct., 2016"	"2016/10"	903	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Nov., 2016"	"2016/11"	904	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Dec., 2016"	"2016/12"	1010	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jan., 2017"	"2017/01"	1149	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Feb., 2017"	"2017/02"	1099	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Mar., 2017"	"2017/03"	1021	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Apr., 2017"	"2017/04"	1015	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"May, 2017"	"2017/05"	1021	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jun., 2017"	"2017/06"	969	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jul., 2017"	"2017/07"	999	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Aug., 2017"	"2017/08"	947	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Sep., 2017"	"2017/09"	1057	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Oct., 2017"	"2017/10"	967	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Nov., 2017"	"2017/11"	978	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Dec., 2017"	"2017/12"	899	Not Applicable	Not Applicable
"Total"	"Division 3: East North Central"	"CENS-D3"			36125	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jan., 2014"	"2014/01"	152	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Feb., 2014"	"2014/02"	149	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Mar., 2014"	"2014/03"	153	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Apr., 2014"	"2014/04"	146	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"May, 2014"	"2014/05"	156	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jun., 2014"	"2014/06"	122	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jul., 2014"	"2014/07"	140	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Aug., 2014"	"2014/08"	145	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Sep., 2014"	"2014/09"	132	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Oct., 2014"	"2014/10"	146	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Nov., 2014"	"2014/11"	135	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Dec., 2014"	"2014/12"	142	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jan., 2015"	"2015/01"	154	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Feb., 2015"	"2015/02"	147	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Mar., 2015"	"2015/03"	154	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Apr., 2015"	"2015/04"	152	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"May, 2015"	"2015/05"	168	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jun., 2015"	"2015/06"	136	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jul., 2015"	"2015/07"	136	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Aug., 2015"	"2015/08"	140	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Sep., 2015"	"2015/09"	146	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Oct., 2015"	"2015/10"	138	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Nov., 2015"	"2015/11"	143	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Dec., 2015"	"2015/12"	140	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jan., 2016"	"2016/01"	177	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Feb., 2016"	"2016/02"	185	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Mar., 2016"	"2016/03"	158	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Apr., 2016"	"2016/04"	180	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"May, 2016"	"2016/05"	171	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jun., 2016"	"2016/06"	167	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jul., 2016"	"2016/07"	161	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Aug., 2016"	"2016/08"	173	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Sep., 2016"	"2016/09"	187	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Oct., 2016"	"2016/10"	170	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Nov., 2016"	"2016/11"	194	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Dec., 2016"	"2016/12"	209	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jan., 2017"	"2017/01"	211	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Feb., 2017"	"2017/02"	177	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Mar., 2017"	"2017/03"	202	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Apr., 2017"	"2017/04"	168	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"May, 2017"	"2017/05"	191	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jun., 2017"	"2017/06"	179	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jul., 2017"	"2017/07"	173	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Aug., 2017"	"2017/08"	188	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Sep., 2017"	"2017/09"	202	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Oct., 2017"	"2017/10"	202	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Nov., 2017"	"2017/11"	182	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Dec., 2017"	"2017/12"	181	Not Applicable	Not Applicable
"Total"	"Division 4: West North Central"	"CENS-D4"			7860	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jan., 2014"	"2014/01"	570	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Feb., 2014"	"2014/02"	559	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Mar., 2014"	"2014/03"	569	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Apr., 2014"	"2014/04"	548	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"May, 2014"	"2014/05"	532	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jun., 2014"	"2014/06"	558	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jul., 2014"	"2014/07"	627	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Aug., 2014"	"2014/08"	621	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Sep., 2014"	"2014/09"	571	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Oct., 2014"	"2014/10"	590	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Nov., 2014"	"2014/11"	627	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Dec., 2014"	"2014/12"	659	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jan., 2015"	"2015/01"	729	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Feb., 2015"	"2015/02"	694	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Mar., 2015"	"2015/03"	694	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Apr., 2015"	"2015/04"	625	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"May, 2015"	"2015/05"	674	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jun., 2015"	"2015/06"	632	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jul., 2015"	"2015/07"	742	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Aug., 2015"	"2015/08"	734	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Sep., 2015"	"2015/09"	695	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Oct., 2015"	"2015/10"	772	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Nov., 2015"	"2015/11"	669	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Dec., 2015"	"2015/12"	725	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jan., 2016"	"2016/01"	731	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Feb., 2016"	"2016/02"	868	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Mar., 2016"	"2016/03"	1019	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Apr., 2016"	"2016/04"	899	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"May, 2016"	"2016/05"	948	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jun., 2016"	"2016/06"	977	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jul., 2016"	"2016/07"	1025	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Aug., 2016"	"2016/08"	1024	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Sep., 2016"	"2016/09"	997	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Oct., 2016"	"2016/10"	1107	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Nov., 2016"	"2016/11"	1078	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Dec., 2016"	"2016/12"	1105	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jan., 2017"	"2017/01"	1146	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Feb., 2017"	"2017/02"	1081	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Mar., 2017"	"2017/03"	1164	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Apr., 2017"	"2017/04"	1137	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"May, 2017"	"2017/05"	1165	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jun., 2017"	"2017/06"	1181	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jul., 2017"	"2017/07"	1078	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Aug., 2017"	"2017/08"	1168	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Sep., 2017"	"2017/09"	1063	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Oct., 2017"	"2017/10"	1071	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Nov., 2017"	"2017/11"	1041	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Dec., 2017"	"2017/12"	1217	Not Applicable	Not Applicable
"Total"	"Division 5: South Atlantic"	"CENS-D5"			40706	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Jan., 2014"	"2014/01"	193	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Feb., 2014"	"2014/02"	194	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Mar., 2014"	"2014/03"	188	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Apr., 2014"	"2014/04"	179	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"May, 2014"	"2014/05"	176	Not Applicable	Not Applicable
